userId,itemId,timestamp,y
178,243,4230434,0
126,163,1971836,1
321,632,2317839,0
3066,627,5067611,1
941,188,2972729,0
2279,612,6147872,1
73,81,2480913,0
525,229,3361052,1
2641,219,1467941,0
3074,558,5133403,1
1794,120,5162622,0
2085,340,8937094,1
1159,198,4266652,0
1396,343,6182275,1
260,119,2207515,0
2800,649,4733499,1
4,67,3343430,0
1016,327,7133317,1
2300,288,5576628,0
2578,811,7171226,1
3487,820,3129624,0
1718,770,3562439,1
639,849,8001201,0
1604,393,3335722,1
1917,850,4008501,0
991,225,2551163,1
2885,842,3991298,0
973,753,4666970,1
214,132,2814202,0
3125,121,5970633,1
1307,638,2623482,0
3136,625,4009572,1
2735,843,6278707,0
1295,312,2657954,1
1141,122,1059575,0
2876,490,4086678,1
490,654,8816117,0
2986,606,5411341,1
884,390,7214373,0
1823,367,1192719,1
323,161,737565,0
2021,310,1105528,1
49,654,2639544,0
3351,657,9745556,1
1621,580,9025727,0
3114,622,3231531,1
100,678,2836163,0
2591,624,3276164,1
947,341,5202083,0
2907,878,5426686,1
1197,554,2233344,0
2683,649,2772360,1
1838,618,4154096,0
1935,719,2918934,1
1712,494,3385678,0
2783,139,2130442,1
2034,456,7515235,0
3378,306,3197844,1
1516,488,2509696,0
569,661,2793261,1
292,346,1905361,0
2267,319,1534932,1
109,108,1851584,0
1782,185,1436563,1
2072,606,1938386,0
1063,217,1163654,1
1702,354,5593759,0
54,163,903734,1
2179,623,6937264,0
441,647,3122683,1
867,181,3338247,0
1159,320,2605290,1
4,9,3348928,0
2580,304,2522367,1
603,249,6798596,0
1058,107,904780,1
1705,605,2531529,0
670,158,1346326,1
2807,489,1864301,0
2790,583,1737061,1
1260,743,2639368,0
1037,165,632991,1
333,81,9466031,0
717,346,1452741,1
3208,841,3591178,0
2910,578,2788453,1
3428,584,3772133,0
2266,627,7118906,1
323,366,1424012,0
86,164,380879,1
2589,308,4048950,0
591,355,2023202,1
745,103,7834072,0
41,164,2701210,1
1019,527,3252932,0
294,468,2131539,1
1787,202,3932737,0
2843,322,3044249,1
3153,623,2439229,0
1527,803,3132383,1
69,162,453393,0
1542,331,10580572,1
2902,858,4324891,0
2498,812,3763308,1
1577,306,1327503,0
2850,627,3469546,1
2353,307,3137878,0
2855,563,7467138,1
451,726,2743329,0
1550,486,4015745,1
6,67,3201045,0
283,153,463860,1
2282,489,1603365,0
3571,821,4613103,1
598,113,2649079,0
932,797,5341174,1
881,118,3569149,0
1370,166,3576585,1
3056,661,5637978,0
550,526,1674523,1
1478,603,5735952,0
1,18,4963213,1
2772,806,4360664,0
525,248,7819029,1
2713,216,2029017,0
2439,180,1609638,1
2294,19,3203646,0
2864,622,3026981,1
1171,434,6100621,0
813,104,753786,1
328,163,1089077,0
1617,351,1244577,1
1406,734,2284270,0
90,646,2177298,1
