duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,year,artist,genre,tags,stream_count,log_stream_count
266792,0.575871376976867,0.5502813686567233,2,-7.567314774763056,0,0.07756753991132724,0.0,0.11575363463757059,0.1894955486871552,0.5508110370313059,85.06338973962704,4,1997,Artist_186,R&B,"r&b,music",212818,12.26819731817818
216854,0.4120251307168533,0.5501701057538695,4,-4.346938090078944,0,0.10943562648325182,0.29100074164671247,0.12850664784233037,0.22683240043146516,0.47787681257586506,95.60910005639604,4,2000,Artist_191,Indie,"indie,music",32667,10.394151284478166
208662,0.847432459817178,0.8826773875775308,5,-1.752469983822384,1,0.06832253778296225,0.0005595334186489914,0.11219102615069337,0.09189784304394145,0.3720751115384223,155.88276319320238,4,1981,Artist_090,Electronic,"electronic,music",162047,11.995647866623738
162853,0.47377621990694563,0.7050111915644097,10,-6.979834808268483,0,0.12471863826228388,0.0,0.16606134722889754,0.2203516623236944,0.8522887348831274,130.66979067927383,4,2003,Artist_048,Rock,"rock,music",400553,12.90060386786228
205536,0.44807731743912904,0.7148101746786638,4,-5.004647109065232,0,0.045705986807003926,0.07512430796019898,0.20797125968634755,0.2703906646154309,0.7021244116412233,112.82501495125675,3,1982,Artist_112,Rock,"rock,music",134319,11.807980291751422
205587,0.6110683640658521,0.4920450920850235,5,-6.8648090732429115,1,0.14502624111068266,0.5293342554422067,0.13921633241455064,0.1187335732012096,0.7545825850893922,128.87606115085947,4,2026,Artist_043,Country,"country,music",765435,13.548200885098131
143479,0.20071442027870087,0.36466976559816133,9,-12.53870467813213,0,0.024820281088130038,0.560391063253767,0.0343831635051611,0.3177624298478737,0.45519797290315456,47.019377089230076,4,2010,Artist_083,Classical,"classical,music",216849,12.286961149263512
180721,0.537169580263118,0.6480138291125263,0,-6.330942426055254,0,0.22258312376540715,0.28627834298267607,0.08264105730296387,0.047697405275920944,0.5968318062716831,98.64705589971064,4,1991,Artist_227,Pop,"pop,music",62079,11.0361791548571
190452,0.547719669857378,0.5537057983930155,5,-6.171335478101969,0,0.1647965341749223,0.08863043318832135,0.21307345473107753,0.5443813075515047,0.5999219371393917,122.52279798387616,4,2017,Artist_060,Pop,"pop,music",270698,12.50876278146923
223606,0.5074261135692179,0.682234928103874,7,-7.078527230244502,0,0.19666184867175374,0.0,0.12512140870938074,0.014020342431375796,0.649146235731956,91.29422566988836,4,1980,Artist_054,R&B,"r&b,music",26863,10.198542379317322
225760,0.495989622160879,0.6698956036154274,0,-5.56719838441239,1,0.04908622919994718,0.10656579562806293,0.10793010569519522,0.3722242956869805,0.9527602602793447,126.51256727999893,4,2005,Artist_193,Pop,"pop,music",467311,13.05475240779386
178840,0.1137185171469759,0.220320213752421,11,-9.123638943653253,0,0.0,0.5494339583849962,0.29273034704434786,0.28682937407819714,0.32309903826070374,68.30819279800271,4,1985,Artist_003,Classical,"classical,music",43484,10.680171330023866
226099,0.5869232793351059,0.8638112790053514,3,-7.113779297176937,0,0.17605199382443976,0.0,0.19530794607003002,0.2936267872172492,0.3710277026747808,121.52765589909302,4,1982,Artist_243,Rock,"rock,music",84597,11.34566590465293
